price,airline,departure_time,arrival_time,duration,stops
,Tel Aviv-Yafo,"Sun, Dec 15","Sun, Jan 19",,
,Macao,"Sun, Dec 15","Sun, Jan 19",,
,Bahrain,"Sun, Dec 15","Sun, Jan 19",,
,Kathmandu,"Sun, Dec 15","Sun, Jan 19",,
$610,Mexico City,"Sun, Dec 15","Sun, Jan 19",7 hr 40 min,1 stop
,Saint Lucia,"Sun, Dec 15","Sun, Jan 19",,
,Buenos Aires,"Sun, Dec 15","Sun, Jan 19",,
,Rio de Janeiro,"Sun, Dec 15","Sun, Jan 19",,
"$7,076",Cancún,"Sun, Dec 15","Sun, Jan 19",11 hr 1 min,1 stop
$868,Aruba,"Sun, Dec 15","Sun, Jan 19",18 hr 27 min,2 stops
"$10,109",Grenada,"Sun, Dec 15","Sun, Jan 19",18 hr 34 min,2 stops
,Honolulu,"Sun, Dec 15","Sun, Jan 19",,
"$2,299",Key West,"Sun, Dec 15","Sun, Jan 19",11 hr 38 min,1 stop
,Kauai,"Sun, Dec 15","Sun, Jan 19",,
$310,Lima,"Sun, Dec 15","Sun, Jan 19",2 hr 14 min,Nonstop
"$4,298",Puerto Vallarta,"Sun, Dec 15","Sun, Jan 19",13 hr 59 min,2 stops
,Cartagena,"Sun, Dec 15","Sun, Jan 19",,
"$1,537",Dominica,"Sun, Dec 15","Sun, Jan 19",20 hr 40 min,2 stops
$691,São Paulo,"Sun, Dec 15","Sun, Jan 19",20 hr 5 min,2 stops
,Havana,"Sun, Dec 15","Sun, Jan 19",,
"$1,603",Cusco,"Sun, Dec 15","Sun, Jan 19",10 hr 25 min,1 stop
,Bora Bora,"Sun, Dec 15","Sun, Jan 19",,
,Curaçao,"Sun, Dec 15","Sun, Jan 19",,
$571,Santiago,"Sun, Dec 15","Sun, Jan 19",20 hr 5 min,1 stop
$293,Bogotá,"Sun, Dec 15","Sun, Jan 19",8 hr 47 min,1 stop
$785,San Juan,"Sun, Dec 15","Sun, Jan 19",13 hr 16 min,1 stop
,Anguilla,"Sun, Dec 15","Sun, Jan 19",,
,Antigua,"Sun, Dec 15","Sun, Jan 19",,
$996,Punta Cana,"Sun, Dec 15","Sun, Jan 19",17 hr 8 min,1 stop
,Cozumel,"Sun, Dec 15","Sun, Jan 19",,
,Oaxaca,"Sun, Dec 15","Sun, Jan 19",,
